,hotel_id,price,amenities,homestay_name,region,area,price_type
0,0,4599,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Room Heating', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'Smoking Allowed', 'essentials', 'TV', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Rachith Aashiyana,north goa,umtav vado,budget
1,1,9000,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",3 bedroom budget villa Candolim,north goa,candolim,comfort
2,2,13399,"['Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",4BHK Villa In Assagao,north goa,assagao,comfort
3,3,3999,"['Safe/Locker available', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'Free Parking']",Landscape Sea Side Rooms,north goa,dona paula,budget
4,4,3299,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",1 Bed Room Apartment 2,north goa,calangute,budget
5,5,3299,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",1 Bed Room Apartment 1,north goa,calangute,budget
6,6,3299,"['Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Bar / Restaurant']",2 Bedroom Apartment,north goa,candolim,budget
7,7,23104,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Bar / Restaurant']",8 Bedroom Guest House,north goa,vagator,luxury
8,8,3500,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'Smoking Allowed', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Waite 2BHK Apartment,south goa,colva,budget
9,9,3500,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",Coconut Groove,south goa,varca,budget
10,10,2000,[],Lio’s Apartment,south goa,carmona,budget
11,11,6999,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",Earth 4BHK Villa,south goa,benaulim,comfort
12,12,1499,"['Wireless Internet', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Kitchen', 'Swimming Pool']",Westwinds 1BHK Apartment,south goa,benaulim,budget
13,13,6000,"['Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Aqua Marina 2BHK Row Villa,south goa,colva,comfort
14,14,3000,"['Wireless Internet', 'Air Conditioner', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Belle Vue Avenue 3BHK Villa,south goa,carmona,budget
15,15,1500,"['Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen']",1BHK Farm House In Agonda,south goa,agonda,budget
16,16,5999,"['Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Costa Holidays 3 BHK Villa T3,south goa,varca,comfort
17,17,4499,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Florida Gardens 3 BHK Apartment UG-4,south goa,colva,budget
18,18,2499,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Costa Holidays 2 BHK Apartment AT7,south goa,varca,budget
19,19,2499,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Costa Holidays 2 BHK Apartment AF4,south goa,varca,budget
20,20,6000,"['Wireless Internet', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Royal palms 1 BHK 1,south goa,benaulim,comfort
21,21,3500,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Lotus Hermitage 2 BHK Apartment 1,south goa,benaulim,budget
22,22,3500,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Lotus Hermitage 2 BHK Apartment 2,south goa,benaulim,budget
23,23,3200,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen']",Sakina 2 BHK Apartment 3,south goa,colva,budget
24,24,3200,"['Safe/Locker available', 'Air Conditioner', 'Pet Friendly', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen']",Sakina 2 BHK Apartment 2,south goa,colva,budget
25,25,3200,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen']",Sakina 2 BHK Apartment 1,south goa,colva,budget
26,26,2000,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen']",Lotus Hermitage 1 BHK Apartment,south goa,benaulim,budget
27,27,2799,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Sea Mist 2 BHK Apartment 4,south goa,colva,budget
28,28,2799,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Sea Mist 2 BHK Apartment 2,south goa,colva,budget
29,29,7500,"['Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Praman’s 2BHK Apartment,south goa,varca,comfort
30,30,2799,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Sea Mist 2 BHK Apartment 2,south goa,colva,budget
31,31,6000,"['Wireless Internet', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Jennifer 2 BHK Apartment,south goa,varca,comfort
32,32,2799,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Sea Mist 2 BHK Apartment 1,south goa,colva,budget
33,33,1899,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Sea Mist 1 BHK Apartment 4,south goa,colva,budget
34,34,1899,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'Free Parking', 'Kitchen', 'Swimming Pool']",Sea Mist 1 BHK Apartment 3,south goa,benaulim,budget
35,35,1899,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Sea Mist 1 BHK Apartment 2,south goa,colva,budget
36,36,1899,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Sea Mist 1 BHK Apartment 1,south goa,colva,budget
37,37,12000,"['Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Florida 3 bedroom Bunglow,south goa,colva,comfort
38,38,9999,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",Florida Trevor 3 BHK Apartment,south goa,colva,comfort
39,39,1999,"['Wireless Internet', 'Air Conditioner', 'washer', 'Hot water', 'Bathroom attached', 'essentials', 'TV', 'Kitchen', 'Swimming Pool']",Maynard Beach Palace 2BHK Apartment,south goa,benaulim,budget
40,40,7999,"['Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Prudential Pristine,south goa,colva,comfort
41,41,4000,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",West wind Periera 2BHK Apartment 2,south goa,benaulim,budget
42,42,4000,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",West wind Periera 2BHK Apartment 1,south goa,benaulim,budget
43,43,8000,"['Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'Free Parking', 'Kitchen', 'Swimming Pool']",“Savio D’Silva 2BHK Apartment,south goa,colva,comfort
44,44,3250,"['Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen']",C Pearl 1BHK Apartment,south goa,majorda,budget
45,45,16250,"['Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Kitchen', 'Swimming Pool']",Cliff Heaven 3BHK Villa,south goa,colva,luxury
46,46,10790,"['Safe/Locker available', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Cliff Heaven 2BHK Apartment,south goa,colva,comfort
47,47,1560,"['Safe/Locker available', 'Wireless Internet', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen']",Peter Paradise 1BHK Non A/C,south goa,benaulim,budget
48,48,5850,"['Safe/Locker available', 'Air Conditioner', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen']",Cliff Heaven 1BHK Apartment,south goa,colva,comfort
49,49,2860,[],Peter Paradise 1BHK A/C,south goa,benaulim,budget
50,50,1820,"['Kitchen', 'Air Conditioner', 'TV', 'Bathroom attached']",Celebrity Kingdom Studio Apartment,south goa,colva,budget
51,51,3250,"['Air Conditioner', 'Hot water', 'Bathroom attached', 'TV', 'Kitchen']",Celebrity Kingdom 1BHK Apartment,south goa,colva,budget
52,52,2500,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Suitable for Events']",Mistral Holidays Studio Apartment,south goa,benaulim,budget
53,53,2500,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",Mistral Holidays 1BHK Apartment,south goa,benaulim,budget
54,54,1500,"['Safe/Locker available', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Golden Sands 1BHK Apartment T5,south goa,benaulim,budget
55,55,1500,"['Air Conditioner', 'washer', 'Hot water', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Golden Sands 1BHK Apartment T4,south goa,benaulim,budget
56,56,1500,"['Safe/Locker available', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Golden Sands 1BHK Apartment T3,south goa,benaulim,budget
57,57,12500,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",CD Zen Garden Golden Aurao 3BHK Villa,south goa,benaulim,comfort
58,58,2990,"['Wireless Internet', 'Air Conditioner', 'washer', 'Family/Kid Friendly', 'Bathroom attached', 'Free Parking', 'Kitchen', 'Suitable for Events']",Ros Super Deluxe,south goa,benaulim,budget
59,59,2470,"['Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",Ros Deluxe Room,south goa,benaulim,budget
60,60,2210,"['Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",Ros Standard Rooom,south goa,benaulim,budget
61,61,12000,"['Safe/Locker available', 'Air Conditioner', 'Family/Kid Friendly', 'Bathroom attached', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",CD Zen Garden 3BHK Villa,south goa,benaulim,comfort
62,62,2800,"['Safe/Locker available', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Vaz Residency,south goa,benaulim,budget
63,63,1500,"['Safe/Locker available', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Golden Sands 1 BHK Apartment T2,south goa,benaulim,budget
64,64,5499,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Florida Gardens 4 BHK Villa,south goa,benaulim,comfort
65,65,7000,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",Benaulim House 6 BHK Villa,south goa,unknown,comfort
66,66,2499,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'washer', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Costa Holidays 2 BHK Apartment AF3,south goa,varca,budget
67,67,3600,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'Free Parking', 'Kitchen', 'Swimming Pool']",Costa Holidays 3 BHK Villa D7,south goa,varca,budget
68,68,3600,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Costa Holidays 3 BHK Villa D9,south goa,varca,budget
69,69,6000,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Serenity 4 BHK Villa C18,south goa,varca,comfort
70,70,9000,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Swimming Pool']",Serenity 3 BHK Villa C6,south goa,varca,comfort
71,71,9000,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Serenity 3 BHK Villa C5,south goa,varca,comfort
72,72,6500,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen']",Serenity 2 BHK Apartment D7,south goa,varca,comfort
73,73,6500,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen']",Serenity 2 BHK Apartment D5,south goa,varca,comfort
74,74,6500,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",Serenity 2 BHK Apartment D4,south goa,varca,comfort
75,75,2999,"['Safe/Locker available', 'Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",Costa Holidays 3 BHK Villa C4,south goa,varca,budget
76,76,6500,"['Wireless Internet', 'Air Conditioner', 'Hot water', 'Family/Kid Friendly', 'Bathroom attached', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",Serenity 2 BHK Apartment D3,south goa,varca,comfort
